               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.024874,            0.034316,           0.0053813,             0.97867,             0.98567,             0.98396,             0.78607,            0.016887,            0.012958,           0.0032112,             0.00703,             0.00703,             0.00703
                 122,            0.024693,            0.035097,            0.005494,               0.982,             0.98572,             0.98429,             0.78272,            0.017376,            0.013018,           0.0033217,           0.0070053,           0.0070053,           0.0070053
                 123,            0.023198,            0.032257,           0.0056076,             0.97798,             0.98543,             0.98389,             0.79208,            0.016546,             0.01294,            0.003735,           0.0069805,           0.0069805,           0.0069805
                 124,            0.024742,            0.033442,           0.0054516,             0.98523,             0.98195,             0.98509,             0.78316,            0.017472,            0.012805,           0.0032877,           0.0069558,           0.0069558,           0.0069558
                 125,            0.024166,            0.031458,           0.0054451,             0.98678,               0.985,             0.98512,             0.78458,            0.017252,            0.012752,           0.0030467,            0.006931,            0.006931,            0.006931
                 126,            0.025229,             0.03445,           0.0055534,             0.98507,              0.9858,             0.98435,             0.79043,            0.016919,            0.012783,           0.0032541,           0.0069063,           0.0069063,           0.0069063
                 127,            0.024231,            0.035039,           0.0053936,             0.97903,             0.97963,             0.98431,             0.78648,            0.015923,            0.013079,           0.0037696,           0.0068815,           0.0068815,           0.0068815
                 128,            0.024553,            0.035406,           0.0052426,             0.98641,              0.9843,             0.98427,             0.77731,            0.017969,            0.013141,           0.0029614,           0.0068568,           0.0068568,           0.0068568
                 129,            0.023169,            0.033383,           0.0056576,             0.98428,               0.984,             0.98444,             0.78455,             0.01619,            0.013013,           0.0031148,            0.006832,            0.006832,            0.006832
                 130,            0.023908,            0.032258,           0.0054336,             0.98128,             0.98047,             0.98332,             0.78759,            0.016474,            0.013089,           0.0031931,           0.0068073,           0.0068073,           0.0068073
                 131,             0.02355,            0.032588,           0.0051894,             0.98054,             0.98543,             0.98431,             0.77598,            0.017213,            0.012983,           0.0031652,           0.0067825,           0.0067825,           0.0067825
                 132,            0.024429,            0.034201,           0.0055133,             0.98473,             0.98545,             0.98357,              0.7825,            0.016375,            0.013019,           0.0029706,           0.0067577,           0.0067577,           0.0067577
                 133,            0.023992,            0.033012,           0.0053747,             0.98557,             0.98564,             0.98439,             0.78165,            0.018011,            0.013071,            0.002985,            0.006733,            0.006733,            0.006733
                 134,            0.023801,            0.034994,           0.0050238,             0.98647,              0.9859,             0.98623,             0.79216,            0.016474,            0.013063,           0.0028064,           0.0067082,           0.0067082,           0.0067082
                 135,            0.023493,            0.035219,           0.0054395,             0.98846,             0.98659,             0.98609,             0.78511,            0.016891,            0.013143,           0.0026815,           0.0066835,           0.0066835,           0.0066835
                 136,            0.023705,            0.033377,           0.0051808,             0.98758,              0.9855,             0.98533,             0.79221,            0.017329,            0.013233,           0.0025952,           0.0066587,           0.0066587,           0.0066587
                 137,            0.023978,            0.034742,           0.0052846,             0.97857,             0.98434,             0.98429,             0.77691,            0.017625,            0.013251,           0.0033474,            0.006634,            0.006634,            0.006634
                 138,             0.02404,            0.033036,            0.005402,             0.97058,             0.98429,             0.98422,             0.78836,            0.016081,            0.013031,           0.0032677,           0.0066092,           0.0066092,           0.0066092
                 139,            0.023476,            0.032035,           0.0050826,             0.97552,             0.99102,             0.98493,             0.78518,            0.017307,            0.012915,           0.0025739,           0.0065845,           0.0065845,           0.0065845
                 140,            0.024762,             0.03328,           0.0054257,             0.97368,              0.9828,             0.98405,             0.78144,            0.016737,             0.01301,           0.0028964,           0.0065598,           0.0065598,           0.0065598
                 141,            0.023743,            0.031445,           0.0055383,             0.97903,               0.984,             0.98484,             0.78081,            0.016806,            0.012997,           0.0029543,            0.006535,            0.006535,            0.006535
                 142,            0.024226,            0.033251,           0.0054293,             0.98034,             0.98326,             0.98427,             0.77715,            0.016698,            0.013163,           0.0029359,           0.0065102,           0.0065102,           0.0065102
                 143,            0.023096,            0.032225,           0.0048609,             0.95965,             0.98953,             0.98314,             0.78069,            0.016556,            0.012956,           0.0031691,           0.0064855,           0.0064855,           0.0064855
                 144,            0.023915,            0.033791,           0.0051726,             0.97574,             0.97939,             0.98349,              0.7788,            0.017215,            0.013051,           0.0030613,           0.0064608,           0.0064608,           0.0064608
                 145,            0.023513,             0.03294,           0.0051585,             0.97216,              0.9837,             0.98457,             0.78015,            0.016579,            0.013267,           0.0031837,            0.006436,            0.006436,            0.006436
                 146,            0.023519,            0.033703,           0.0049323,             0.97844,             0.98212,             0.98546,             0.78248,            0.016498,            0.012779,           0.0031376,           0.0064112,           0.0064112,           0.0064112
                 147,            0.023468,            0.033675,           0.0052044,             0.97778,             0.98383,             0.98403,              0.7739,            0.017921,            0.013064,           0.0029348,           0.0063865,           0.0063865,           0.0063865
                 148,            0.021979,            0.033233,           0.0049451,             0.97476,             0.98364,              0.9863,             0.79036,            0.016773,            0.013329,           0.0032967,           0.0063618,           0.0063618,           0.0063618
                 149,            0.023307,            0.033349,           0.0052302,             0.98649,             0.98619,             0.98625,             0.78875,            0.017194,            0.012951,           0.0024905,            0.006337,            0.006337,            0.006337
                 150,            0.024304,            0.034166,           0.0053452,             0.98005,             0.98468,             0.98516,             0.78928,            0.016587,             0.01268,           0.0028123,           0.0063122,           0.0063122,           0.0063122
                 151,            0.022782,            0.034714,           0.0052886,             0.97955,             0.98552,              0.9877,             0.78385,            0.016988,            0.013097,           0.0032097,           0.0062875,           0.0062875,           0.0062875
                 152,            0.023155,            0.032951,           0.0054113,             0.97691,             0.98562,             0.98675,             0.78468,            0.016538,            0.013069,           0.0029388,           0.0062628,           0.0062628,           0.0062628
                 153,            0.023434,            0.031349,           0.0050906,             0.98395,             0.98491,             0.98782,             0.78596,            0.016573,            0.012976,           0.0026363,            0.006238,            0.006238,            0.006238
                 154,            0.023524,            0.033909,           0.0050395,             0.98361,             0.98561,             0.98453,             0.77798,            0.016317,            0.012851,           0.0028955,           0.0062132,           0.0062132,           0.0062132
                 155,            0.023251,            0.034211,           0.0046607,             0.98501,             0.98058,             0.98385,             0.78764,            0.017082,            0.012909,            0.003085,           0.0061885,           0.0061885,           0.0061885
